Date,TotalDistance,RunCount,AveragePace
2011-01-05,2.13,1,9.56
2011-01-06,2.13,1,9.56
2011-01-07,2.13,1,9.56
2011-01-08,2.13,1,9.56
2011-01-09,2.13,1,9.56
2011-01-10,4.34,2,9.08
2011-01-11,4.34,2,9.08
2011-01-12,4.34,2,9.08
2011-01-13,4.34,2,9.08
2011-01-14,4.34,2,9.08
2011-01-15,4.34,2,9.08
2011-01-16,4.34,2,9.08
2011-01-17,6.57,3,8.78
2011-01-18,6.57,3,8.78
2011-01-19,6.57,3,8.78
2011-01-20,6.57,3,8.78
2011-01-21,8.97,4,8.59
2011-01-22,8.97,4,8.59
2011-01-23,8.97,4,8.59
2011-01-24,8.97,4,8.59
2011-01-25,8.97,4,8.59
2011-01-26,8.97,4,8.59
2011-01-27,11.25,5,8.57
2011-01-28,11.25,5,8.57
2011-01-29,11.25,5,8.57
2011-01-30,11.25,5,8.57
2011-01-31,11.25,5,8.57
2011-02-01,11.25,5,8.57
2011-02-02,13.68,6,8.4
2011-02-03,13.68,6,8.4
2011-02-04,13.68,6,8.4
2011-02-05,13.68,6,8.4
2011-02-06,13.68,6,8.4
2011-02-07,13.68,6,8.4
2011-02-08,13.68,6,8.4
2011-02-09,13.68,6,8.4
2011-02-10,15.25,7,8.32
2011-02-11,16.79,8,8.27
2011-02-12,16.79,8,8.27
2011-02-13,16.79,8,8.27
2011-02-14,16.79,8,8.27
2011-02-15,16.79,8,8.27
2011-02-16,16.79,8,8.27
2011-02-17,16.79,8,8.27
2011-02-18,18.41,9,8.13
2011-02-19,18.41,9,8.13
2011-02-20,18.41,9,8.13
2011-02-21,18.41,9,8.13
2011-02-22,20.06,10,8.0
2011-02-23,20.06,10,8.0
2011-02-24,20.06,10,8.0
2011-02-25,20.06,10,8.0
2011-02-26,20.06,10,8.0
2011-02-27,20.06,10,8.0
2011-02-28,20.06,10,8.0
2011-03-01,20.06,10,8.0
2011-03-02,20.06,10,8.0
2011-03-03,20.06,10,8.0
2011-03-04,20.06,10,8.0
2011-03-05,20.06,10,8.0
2011-03-06,20.06,10,8.0
2011-03-07,21.5,11,7.85
2011-03-08,21.5,11,7.85
2011-03-09,21.5,11,7.85
2011-03-10,21.5,11,7.85
2011-03-11,21.5,11,7.85
2011-03-12,21.5,11,7.85
2011-03-13,21.5,11,7.85
2011-03-14,21.5,11,7.85
2011-03-15,21.5,11,7.85
2011-03-16,21.5,11,7.85
2011-03-17,21.5,11,7.85
2011-03-18,21.5,11,7.85
2011-03-19,21.5,11,7.85
2011-03-20,21.5,11,7.85
2011-03-21,21.5,11,7.85
2011-03-22,21.5,11,7.85
2011-03-23,21.5,11,7.85
2011-03-24,21.5,11,7.85
2011-03-25,21.5,11,7.85
2011-03-26,21.5,11,7.85
2011-03-27,21.5,11,7.85
2011-03-28,25.09,12,8.11
2011-03-29,25.09,12,8.11
2011-03-30,25.09,12,8.11
2011-03-31,25.09,12,8.11
2011-04-01,25.09,12,8.11
2011-04-02,25.09,12,8.11
2011-04-03,25.09,12,8.11
2011-04-04,25.09,12,8.11
2011-04-05,25.09,12,8.11
2011-04-06,25.09,12,8.11
2011-04-07,25.09,12,8.11
2011-04-08,25.09,12,8.11
2011-04-09,25.09,12,8.11
2011-04-10,25.09,12,8.11
2011-04-11,25.09,12,8.11
2011-04-12,25.09,12,8.11
2011-04-13,25.09,12,8.11
2011-04-14,25.09,12,8.11
2011-04-15,25.09,12,8.11
2011-04-16,25.09,12,8.11
2011-04-17,25.09,12,8.11
2011-04-18,25.09,12,8.11
2011-04-19,25.09,12,8.11
2011-04-20,25.09,12,8.11
2011-04-21,25.09,12,8.11
2011-04-22,25.09,12,8.11
2011-04-23,28.12,14,8.24
2011-04-24,28.12,14,8.24
2011-04-25,28.12,14,8.24
2011-04-26,28.12,14,8.24
2011-04-27,28.12,14,8.24
2011-04-28,28.12,14,8.24
2011-04-29,31.46,15,8.31
2011-04-30,31.46,15,8.31
2011-05-01,31.46,15,8.31
2011-05-02,31.46,15,8.31
2011-05-03,31.46,15,8.31
2011-05-04,31.46,15,8.31
2011-05-05,31.46,15,8.31
2011-05-06,31.46,15,8.31
2011-05-07,31.46,15,8.31
2011-05-08,31.46,15,8.31
2011-05-09,31.46,15,8.31
2011-05-10,31.46,15,8.31
2011-05-11,31.46,15,8.31
2011-05-12,31.46,15,8.31
2011-05-13,31.46,15,8.31
2011-05-14,31.46,15,8.31
2011-05-15,31.46,15,8.31
2011-05-16,31.46,15,8.31
2011-05-17,31.46,15,8.31
2011-05-18,31.46,15,8.31
2011-05-19,31.46,15,8.31
2011-05-20,31.46,15,8.31
2011-05-21,31.46,15,8.31
2011-05-22,31.46,15,8.31
2011-05-23,31.46,15,8.31
2011-05-24,31.46,15,8.31
2011-05-25,31.46,15,8.31
2011-05-26,31.46,15,8.31
2011-05-27,31.46,15,8.31
2011-05-28,31.46,15,8.31
2011-05-29,31.46,15,8.31
2011-05-30,31.46,15,8.31
2011-05-31,31.46,15,8.31
2011-06-01,31.46,15,8.31
2011-06-02,31.46,15,8.31
2011-06-03,31.46,15,8.31
2011-06-04,31.46,15,8.31
2011-06-05,31.46,15,8.31
2011-06-06,31.46,15,8.31
2011-06-07,31.46,15,8.31
2011-06-08,31.46,15,8.31
2011-06-09,31.46,15,8.31
2011-06-10,31.46,15,8.31
2011-06-11,31.46,15,8.31
2011-06-12,31.46,15,8.31
2011-06-13,31.46,15,8.31
2011-06-14,31.46,15,8.31
2011-06-15,31.46,15,8.31
2011-06-16,31.46,15,8.31
2011-06-17,31.46,15,8.31
2011-06-18,31.46,15,8.31
2011-06-19,31.46,15,8.31
2011-06-20,31.46,15,8.31
2011-06-21,31.46,15,8.31
2011-06-22,31.46,15,8.31
2011-06-23,31.46,15,8.31
2011-06-24,31.46,15,8.31
2011-06-25,31.46,15,8.31
2011-06-26,31.46,15,8.31
2011-06-27,31.46,15,8.31
2011-06-28,31.46,15,8.31
2011-06-29,31.46,15,8.31
2011-06-30,31.46,15,8.31
2011-07-01,34.64,16,8.4
2011-07-02,34.64,16,8.4
2011-07-03,34.64,16,8.4
2011-07-04,34.64,16,8.4
2011-07-05,34.64,16,8.4
