Year,Week,TotalDistance,TotalTime,RunCount,AveragePace
2011,1,2.13,1222,1,9.56
2011,2,2.2,1141,1,8.62
2011,3,4.63,2259,2,8.13
2011,4,2.28,1163,1,8.49
2011,5,2.42,1104,1,7.59
2011,6,3.11,1436,2,7.69
2011,7,1.63,651,1,6.68
2011,8,1.65,658,1,6.65
2011,10,1.44,496,1,5.74
2011,13,3.59,2084,1,9.67
2011,16,3.03,1693,2,9.32
2011,17,3.34,1782,1,8.89
2011,26,3.18,1777,1,9.31
2011,27,5.37,2812,2,8.72
2011,29,8.1,4012,2,8.26
2011,30,15.59,8091,3,8.65
2011,31,10.35,4600,2,7.41
2011,33,4.24,1930,1,7.59
2011,34,9.37,4424,2,7.87
2011,35,2.04,885,1,7.24
2011,44,13.06,5949,2,7.59
2012,28,4.93,1836,1,6.2
2012,30,5.67,1979,1,5.81
2012,34,5.11,1784,1,5.82
2012,35,3.2,1081,1,5.63
2012,36,7.23,2440,2,5.63
2012,37,2.91,969,1,5.55
2012,38,5.49,1832,1,5.56
2012,41,9.85,3328,2,5.63
2012,42,10.69,3567,3,5.56
2012,44,12.32,4176,3,5.65
2012,45,7.46,2650,2,5.92
2012,49,5.14,1794,1,5.81
2012,51,7.64,3242,1,7.07
2013,1,11.58,4251,2,6.12
2013,2,7.11,2643,1,6.2
2013,3,13.25,5243,4,6.59
2013,4,5.0,2100,1,7.0
2013,6,3.45,1320,1,6.38
2013,7,5.01,1470,1,4.89
2013,8,8.4,2971,1,5.89
2013,9,10.57,2927,1,4.61
2013,10,10.24,3357,1,5.46
2013,12,14.52,4623,2,5.31
2013,13,10.1,3300,1,5.44
2013,15,2.59,800,2,5.16
2013,16,5.46,1832,1,5.59
2013,18,8.28,2641,1,5.32
2013,19,7.97,2507,1,5.25
2013,20,10.14,3404,1,5.6
2013,21,2.55,767,1,5.02
2013,22,20.57,6638,2,5.38
2013,23,8.25,2579,1,5.21
2013,25,4.81,1496,1,5.19
2013,36,5.0,1870,1,6.23
2013,43,7.5,2464,1,5.48
2013,44,9.18,3018,1,5.48
2013,46,15.36,5002,2,5.43
2014,1,9.08,2790,2,5.12
2014,2,11.07,3853,2,5.8
2014,4,5.15,1570,1,5.08
2014,5,6.09,1874,1,5.13
2014,9,2.64,799,1,5.03
2014,12,12.3,3963,2,5.37
2014,13,19.08,6194,3,5.41
2014,14,4.36,1359,1,5.19
2014,15,6.09,1826,1,5.0
2014,16,15.31,4968,3,5.41
2014,17,4.67,1482,1,5.29
2014,18,6.1,1898,1,5.19
2014,19,11.94,3728,2,5.2
2014,24,12.75,4112,2,5.37
2014,25,15.41,4906,3,5.31
2014,26,14.07,4907,2,5.81
2014,29,6.95,2199,1,5.27
2014,31,30.71,10214,3,5.54
2014,32,24.6,8843,2,5.99
2014,33,5.56,1869,1,5.6
2014,37,12.28,3886,2,5.27
2014,38,15.84,5555,2,5.84
2014,40,2.31,795,1,5.74
2014,43,3.32,1268,1,6.36
2015,5,2.02,576,1,4.75
2015,12,2.57,859,1,5.57
2015,13,3.08,973,1,5.26
2015,15,2.59,907,1,5.84
2015,16,3.14,1007,1,5.34
2015,18,6.65,2014,2,5.04
2015,27,3.48,1062,1,5.08
2015,28,4.11,1364,1,5.53
2015,48,5.76,2233,2,6.46
2015,49,10.67,4043,2,6.31
2015,50,13.06,4922,2,6.28
2015,51,22.74,8805,3,6.45
2015,52,25.47,9268,3,6.06
2015,53,6.11,2121,1,5.79
2016,1,24.97,9157,3,6.11
2016,2,32.37,12118,3,6.24
2016,3,32.34,12121,3,6.25
2016,4,18.7,6351,2,5.66
2016,5,38.85,13802,3,5.92
2016,6,18.79,6380,2,5.66
2016,7,31.05,10803,2,5.8
2016,9,4.82,1663,1,5.76
2016,10,10.11,3341,1,5.51
2016,11,11.65,3979,1,5.69
2016,12,26.19,9533,2,6.07
2016,20,4.59,1656,1,6.02
2016,21,9.42,3216,2,5.69
2016,24,7.16,2363,2,5.5
2016,25,7.98,2705,2,5.65
2016,26,9.71,3461,2,5.94
2016,28,8.25,2964,2,5.98
2016,31,7.02,2616,1,6.21
2016,32,13.69,4963,2,6.04
2016,33,8.98,3285,1,6.09
2016,46,2.4,956,1,6.63
2016,47,4.56,1740,1,6.36
2016,50,3.96,1531,1,6.45
2016,52,5.1,1870,1,6.11
2017,1,4.16,1485,1,5.95
2017,2,5.18,1832,1,5.89
2017,4,6.91,2494,1,6.02
2017,5,6.23,2255,1,6.03
2017,7,7.11,2488,1,5.83
2017,18,4.26,1386,1,5.43
2017,23,4.04,1478,1,6.1
